,soilC_mg_g,soilN_mg_g,soilCN,pH_H2O,initial_N_mg_g,clay_pct,qpcr16s_T0,qpcrits_T0,qpcr16s_T1,qpcrits_T1,qpcr16s_T2,qpcrits_T2,Al_mg_g_CD,Ca_mg_g_CD,Mn_mg_g_CD,Fe_mg_g_CD,d13C_TC,SOC_mgC_g,d13C_SOC,SOCN,Al_mg_g_AO,Ca_mg_g_AO,Mn_mg_g_AO,Fe_mg_g_AO,NO3_ugN_g_1m,NH4_ugN_g_1m,NO3_ugN_g_9m,NH4_ugN_g_9m,NO3_ugN_g_final,NH4_ugN_g_final,FeII_mg_g,FeIII_mg_g,FeIIratio,Fe_HCl_mg_g
BONA1,64.64750657,2.140514283,30.20185713,4.77,0.001524836,9.58,5768817727,19083615.94,19232244809,91285481.21,63176678834,175092430.3,2.215125171,0.247462877,0.059730345,10.54141541,-26.2482,64.64750657,-26.248246,30.20185713,2.681092168,-0.0038726,0.037586807,5.914341302,0.266970563,0.153032081,0,2.135723924,0.895354263,8.603996382,0.097585624,2.834160444,3.443193367,2.931746068
BONA2,119.9434573,4.48834413,26.72332019,4.31,0.004043117,9.58,3077852982,27416949.55,38440479228,98545871.62,1.34E+11,46111875.32,4.588499035,0.284174224,0.036641764,15.27288912,-26.5431,119.9434573,-26.543117,26.72332019,4.871118101,0.058696403,0.016048078,11.04259421,-0.626038418,96.62195114,1.078025943,2.360042527,1.076938058,6.843656538,0.564832501,9.624121585,5.86892524,10.18895409
BONA3,96.39976186,5.594942156,17.22980491,4.15,0.005829399,9.58,10732688205,73323899.2,27572386075,70192844.96,1.54E+11,117118262.5,2.493438815,0.294741797,0.054577051,10.11045718,-26.8212,96.39976186,-26.8212053,17.22980491,2.580780859,-0.016296412,0.03886114,5.16394827,1.28012954,55.42288487,3.51094916,12.25779115,1.919193703,10.99485031,0.95809906,6.613339254,14.48737201,7.571438314
BONA4,72.54565768,2.905456424,24.96876466,4.53,0.00237107,9.58,15966125491,81045798.55,4567501398,143958044,1.34E+11,196348257.5,2.539103329,0.280383297,0.093711843,10.98154833,-26.9608,72.54565768,-26.9607863,24.96876466,2.849730401,0.015617202,0.06568404,5.807168688,0.063074485,0.759262789,7.677398181,4.248474251,1.368999896,5.773392331,0.213858101,6.096296424,3.508000367,6.310154525
CPER1,10.94688163,0.883330298,12.39273877,6.1,0.007845023,14.7,9707582925,60892788.72,24384963501,392103597,74300953925,212667428.2,0.297791226,1.064183337,0.213386322,2.403807071,-19.3848,10.94688163,-19.3847591,12.39273877,0.269035142,-0.022834633,0.168438554,0.234289933,0.771710243,0.294426013,1.919872842,2.23164796,0.847862374,2.187427426,0.036135451,1.243646303,2.905605153,1.279781754
CPER2,10.2879656,0.889212435,11.56975004,5.68,0.014922645,14.7,7386229633,33219023.83,34062135843,325984515.7,66991960609,181340747.7,0.343938766,1.204008296,0.246658004,2.895396837,-17.407,10.2879656,-17.4070037,11.56975004,0.345185675,-0.026239099,0.203183144,0.257068152,2.184845699,0.191381135,1.635741282,2.628780948,0.498890289,3.031643569,0.035063755,1.082326186,3.239666134,1.117389941
CPER3,8.7280634,0.796812076,10.95372881,5.91,0.018085195,14.7,8194702390,36892942.01,20840620676,180425671.2,56350236131,219180811.6,0.317087926,1.23967791,0.261839343,3.142907218,-17.7849,8.7280634,-17.7849461,10.95372881,0.287460701,-0.030536099,0.187046916,0.155190978,1.225242224,1.069917779,4.042978681,1.789425161,0.488808604,0.110305868,0.028449042,0.132102149,21.53563881,0.160551191
CPER4,10.89167287,1.005241433,10.83488256,5.8,0.012695671,14.7,9445287103,14659239.77,28452727834,550727986.1,1.04E+11,320675265.3,0.383378785,1.553547665,0.380783596,3.115791518,-17.3791,10.89167287,-17.3790875,10.83488256,0.359310002,-0.025410487,0.224089689,0.26990122,0.620325466,0.760722045,2.509113545,2.603802332,0.896811392,2.934464729,0.037644431,0.998747454,3.769164103,1.036391885
DSNY1,53.63609054,2.572985757,20.84585598,4.5,0.002070295,1.52,7077850526,36414651.45,16348624175,31063402.24,28660436253,101705301.6,0.881386517,0.107964322,0.006132053,0.445940832,-22.4094,53.63609054,-22.409372,20.84585598,1.038652262,0.016759564,0.002095329,0.407618149,0.978700371,1.066482785,5.966010056,0.830152009,0.714722801,0.745954983,0.028530286,0.39885318,7.153079742,0.427383466
DSNY2,28.51247825,1.261408416,22.60368482,4.98,0.002124122,1.52,3145432380,22666076.73,9557906105,390613324.1,32056686214,229374839,0.312537536,0.133042834,0.011470722,0.346639407,-20.4187,28.51247825,-20.4187322,22.60368482,0.324793132,-0.01210278,-0.001768494,0.306294815,1.128203713,1.25975095,4.087614822,1.915423937,0.870937489,8.40316293,0.024690146,0.23843413,10.35512223,0.263124276
DSNY3,32.64947285,1.421498473,22.96834887,4.88,0.001051831,1.52,2573422183,21221741,10031939664,140649216.3,2974017048,107291223.2,1.58686997,0.116123506,0.008966115,0.298309902,-22.7111,32.64947285,-22.7110817,22.96834887,1.592917878,-0.003747392,0.000827056,0.203118408,-0.096022064,-0.156951833,1.806277341,1.424921176,0.565409092,2.328993184,0.05047869,0.070435291,71.666759,0.120913981
DSNY4,25.7219095,1.191289647,21.59165033,5.07,0.002814044,1.52,4031967415,21121878.33,13447347271,278320682.9,21925294479,117429471.7,0.431141613,0.086160482,0.007090208,0.317950025,-22.7744,25.7219095,-22.77443,21.59165033,0.463590562,-0.031045692,0.000852705,0.205737285,0.272159542,0.181237408,6.085544872,1.438407051,0.709456403,1.277653801,0.018719506,0.331716471,5.643224721,0.350435977
GRSM1,37.50059999,2.57899923,14.54075657,4.92,0.006846069,16.45,1049455622,64895230.24,1.20E+11,98488277.4,44606627864,43692578.69,2.753502779,0.65818222,0.458489094,13.52580375,-26.5989,37.50059999,-26.5989494,14.54075657,1.764531226,0.006232733,0.33994897,1.643381272,-0.363943487,0.214368647,4.14099311,-1.003320907,4.762338151,1.470502178,0.099908893,2.176042032,4.591312666,2.275950926
GRSM2,78.67752672,4.892672005,16.08068692,5.22,0.008831898,16.45,11454894843,43263218.51,99820820116,57344944.18,85955121045,114101146.9,2.65862723,1.61444837,0.634349665,10.85654583,-27.6533,78.67752672,-27.6533228,16.08068692,2.321514381,0.010095839,0.697751436,2.280848714,0.026149323,0.505197976,4.888981541,1.020709046,4.126691965,3.392732509,0.110014194,2.201633207,4.996935607,2.3116474
GRSM3,54.32193789,3.68479643,14.74218154,5.4,0.004858486,16.45,15329725751,59455033.18,71520918960,115824321.4,71359425069,87763752.38,3.998231376,0.830259327,0.908477151,12.91010746,-27.037,54.32193789,-27.037019,14.74218154,3.004807028,0.017891297,0.777505147,1.792422466,0,0.700565674,4.691374332,1.926625184,135.459753,1.61258819,0.088341037,1.394446217,6.335205752,1.482787254
GRSM4,33.70620361,2.626671392,12.83228793,5.2,0.003384501,16.45,7280933642,152942276.2,91907105768,87867014.95,56763729093,31533458.15,3.982854947,0.443896605,1.732240433,13.6203177,-26.6494,33.70620361,-26.6494133,12.83228793,3.320430008,0.006300899,1.563741228,2.465221263,0,0.528415362,4.792839551,0.460674834,27.36381476,2.627438064,0.079114871,1.861027305,4.251139725,1.940142176
HARV1,30.43,1.17,26.1,4.75,0.001965867,5.82,16294633998,105138138.8,4410450418,1216398090,60905283834,1124291561,3.33,0.07,0.02,16.36,-26.6609,30.43417526,-26.6608823,26.1045336,2.166398279,-0.054755886,0.008121625,3.511130854,0.546355827,-0.334189944,1.920252526,1.357198957,0.622117966,0.286296834,0.305369325,5.141593925,5.939195697,5.44696325
HARV2,39.19,1.28,30.62,4.99,0.003483391,5.82,12470462249,183242402.1,8294997862,735073757.8,1.11E+11,333387366.2,4.64,0.08,0.01,12.28,-27.1642,39.18828769,-27.1642229,30.62464957,4.474132711,-0.051936541,0.005033873,4.542007616,0.559567166,-0.191237094,3.247552716,0.950568846,0.656042234,0.816361073,1.037911942,3.439955831,30.17224619,4.477867774
HARV3,33.99,1.13,30.06,4.65,0.001128087,5.82,12015971474,107073279.3,5552993765,727024085.8,69140792112,844672843.3,2.11,0.06,0.02,10.77,-26.0131,33.98839282,-26.0131233,30.05961578,1.828756913,-0.046492202,0.007000946,3.541043593,-0.068793084,-0.041143643,2.659014308,1.15253802,0.543247744,0.92083699,0.169053362,3.679538481,4.59441755,3.848591842
HARV4,34.14,1.31,26.12,5.08,0.00189318,5.82,16055480738,104659585.4,6784048185,357363232.3,1.05E+11,918440860.4,7.24,0.09,0.03,21.36,-26.6471,34.13879221,-26.6470776,26.12176659,4.034017468,-0.066255083,0.011165849,3.83014285,-0.053684073,-0.37324705,2.878792115,2.537533415,1.057113714,1.385311368,0.830129838,7.509941929,11.0537451,8.340071767
KONZ1,39.71503568,3.157786641,12.57685847,6.06,0.019425107,37.25,10659313244,24381333.18,5277449348,373853950.8,84386135967,503324623.9,0.91360506,3.555203107,0.31508432,8.002917899,-14.5327,39.71503568,-14.5327088,12.57685847,1.150733409,-0.002794407,0.297629302,0.652349694,0.470640253,1.055548754,1.257069506,1.659773607,1.47709959,4.083606983,0.16404798,5.198158229,3.155886613,5.362206209
KONZ2,59.3151308,4.410008289,13.45011776,6.45,0.016289245,37.25,17657083707,18283050.74,4268159891,151685185.7,1.61E+11,316048535.1,1.012937953,5.758533695,0.442699605,9.738727804,-15.8093,59.3151308,-15.8093381,13.45011776,1.298445492,-0.013827641,0.429084658,0.886757103,0.145902429,0.811527856,2.462849309,1.288204228,5.433761309,4.312266752,0.089336592,4.368907942,2.044826595,4.458244533
KONZ3,36.70998006,2.910884957,12.61127822,6.29,0.009614809,37.25,16305156705,26037227.45,4756126507,140374781.7,64328058913,251129289.7,0.893894452,3.83375221,0.330239912,9.093894597,-14.2546,36.70998006,-14.2546205,12.61127822,1.191950802,0.010788192,0.311481057,0.896520978,0.375677288,0.94367444,0.706469947,3.409884695,2.995596124,3.802313998,0.092121738,4.181878303,2.202879462,4.274000041
KONZ4,39.65905324,3.188844337,12.43681066,6.12,0.01915981,37.25,18082827116,39935880.74,5843495001,296378946.7,59951157269,336078459.3,0.952987922,4.276181023,0.374352504,9.373456677,-13.9873,39.65905324,-13.9872692,12.43681066,1.240429938,-0.013410965,0.343188997,0.853048845,0.480592226,1.029963685,1.92862659,1.901206301,3.129617036,1.924854739,0.113095259,5.742773155,1.969349232,5.855868414
LENO1,19.63,1.54,12.74,5.25,0.015738918,43.2,10076521715,46663228.64,3702948046,718666394.9,51227024555,414923908.2,2.53,4.35,3.29,20.88,-25.2963,19.6268497,-25.2963408,12.73884982,1.756483149,-0.016697761,3.121278741,10.14566914,-0.293205377,0.627043819,0.84129972,-1.85379564,45.91618839,2.118964368,0.033184279,1.910473907,1.736965831,1.943658186
LENO2,21.2,2.04,10.39,4.64,0.015486079,43.2,11413417386,54638772.78,3976919853,382554399.5,26958195620,573303415.8,2.37,2.97,1.26,19.48,-26.8053,21.20146089,-26.8053007,10.38980176,1.914011665,-0.039813937,1.10448335,10.00452071,-0.537330564,0.626964419,1.59710377,-0.402402829,158.5007027,2.574227634,0.035623495,5.041803206,0.706562582,5.077426701
LENO3,21.95,2.08,10.55,4.8,0.010289033,43.2,9838722973,32479273.58,3864654725,1659635536,52846357917,574011376.9,2.5,3.13,1.89,19.28,-26.3381,21.95116376,-26.3380647,10.55191893,1.804945758,-0.033343606,1.440162262,9.218029994,-0.358785869,0.966083315,1.120029774,-1.466286105,77.99200786,7.457368663,0.038238376,3.847113466,0.993949774,3.885351841
LENO4,18.71,2.05,9.13,5.08,0.011872705,43.2,11609776138,52452839.94,3231222940,1009381685,4150424920,328314200.6,2.46,4.09,3.13,20.09,-25.4928,18.70977965,-25.4927923,9.133109549,1.773520762,-0.027837652,2.96038762,9.751099523,-0.450734091,1.014760734,0.719002171,-1.313290725,31.13807747,2.437904699,0,7.624257621,0,7.624257621
NIWO1,22.96000554,1.838333747,12.48957409,5.22,0.002536298,14.3,12387491125,154998753.9,4589059179,636385491.2,34900494849,1056060755,2.459179999,0.368839182,0.260957558,14.45374247,-24.6093,22.96000554,-24.6092915,12.48957409,2.472363494,-0.026448823,0.172506962,3.98181713,-0.593287795,-0.844043574,2.629686049,2.10901623,0.847678881,1.44109346,0.042091748,1.662340944,2.532076702,1.704432692
NIWO2,41.14253864,3.466021757,11.87024823,4.75,0.006568011,14.3,14781182173,65730286.05,5678066841,302798826.5,1.07E+11,280760373.9,2.483213365,0.28792992,0.258589709,12.34720239,-24.7694,41.14253864,-24.7693646,11.87024823,2.348364722,-0.00913042,0.120807732,3.219377222,0.500633192,-0.127291827,6.524105423,2.205803023,165.8349251,7.459730257,0.042401497,1.002433686,4.229855551,1.044835183
NIWO3,51.1070789,4.172490347,12.2485793,4.49,0.033432763,14.3,13664184611,73610077.15,5876063722,914758206.4,1128.110978,7783842.302,2.283409811,0.438239625,0.506249511,11.26540511,-25.0968,51.1070789,-25.0968431,12.2485793,1.97367154,-0.011438429,0.236723943,2.920687056,0.591622654,0.770042769,11.13989016,3.679484789,166.1170301,43.61052551,0.045592711,1.189857496,3.831779082,1.235450207
NIWO4,52.7263291,3.28276042,16.06158305,5.14,0.007102335,14.3,14566367154,36578761.25,5893284007,300602888.4,49639337956,996152048.5,1.487506145,1.315303123,0.691328669,9.913187088,-25.0679,52.7263291,-25.0678532,16.06158305,1.239840022,-0.013817199,0.453698794,3.082761144,0.193484801,0.158129252,3.689720248,5.451322331,0.515566818,4.873412468,0.045979059,1.740054603,2.642391723,1.786033662
ONAQ1,19.46438091,0.964452733,20.18178833,8.73,0.003062918,17.4,9880715766,56635615.06,3931141657,1109402106,53088653630,3427421733,0.538899157,30.05842366,0.460149015,3.846402714,-10.2347,10.70820547,-18.90136766,11.10288261,0.764495808,-0.011249071,0.389176446,0.370068779,0.350847397,0.451766422,2.821786111,0.397615864,0.341785817,1.864470797,0.141908287,0.615866241,23.04206302,0.757774528
ONAQ2,14.70365511,1.217510643,12.07681854,8.47,0.002335382,17.4,10465682312,112318413.7,5309945640,1235493855,42396928919,2721340336,0.683896084,8.42464264,0.438665195,5.028416391,-18.1028,12.42616416,-21.41398213,10.20620578,0.879379715,-0.013809757,0.406371547,0.474179677,-0.267067989,0.305678578,2.739241801,-0.477251911,0.241234363,0.816287277,0.03105526,0.450732194,6.889958334,0.481787455
ONAQ3,18.84838117,1.230471985,15.31800918,8.54,0.003278988,17.4,13521496343,76588156.99,6483700925,1485455207,78793708032,2134860512,0.610633301,20.86450011,0.384679081,4.512049271,-13.8198,12.79636492,-20.11860667,10.39955811,0.918269933,0.004573082,0.332192799,0.469020946,-0.283581389,0.202862097,2.521826198,2.150573107,0.712865991,2.102024222,0.025682101,0.631437215,4.067245401,0.657119316
ONAQ4,27.30784453,1.315611097,20.75677576,8.44,0.003706423,17.4,16962329233,271839088.1,3794172296,105903924.9,34929728357,112663585.4,0.617801779,31.63874738,0.497248064,3.916880931,-12.468,17.62338283,-19.03596547,13.39558694,0.837993573,0.01563861,0.436921775,0.420957603,1.854106424,1.03455229,57.19558679,1.512183737,91.90374754,2.926023552,0.022654528,0.532978513,4.25055184,0.555633041
OSBS1,8.693644466,0.306365289,28.37672793,5.61,0.003202571,1.3,1407621276,63146362.15,1776749434,2821994132,15099782949,4916939928,0.239441106,0.089548666,0.015534476,0.629972315,-25.7887,8.693644466,-25.7886768,28.37672793,0.235371351,-0.027832461,0.014902345,0.143671096,-0.365026437,-0.217162434,0.431602436,0.278975982,0.243072228,-0.312469271,0.025338977,0.096036115,26.3848421,0.121375093
OSBS2,4.477887777,0.306365289,14.61617204,5.63,0.003642905,1.3,2094263086,29922492.85,1823358837,478469338.4,17823343564,674648999.5,0.187921706,0.078586399,0.034392267,0.471992975,-25.6043,4.477887777,-25.6042574,14.61617204,0.177726293,-0.045466014,0.029901333,0.131927154,-0.213691195,-0.102237168,1.119177229,-0.810684378,0.328979316,-1.503654418,0.035302617,0.093889765,37.60006999,0.129192383
OSBS3,10.98674041,0.321714816,34.15055772,5.84,0.002452013,1.3,4384672637,119406328.9,1780744333,1082112879,22354977397,1747957960,0.332379416,0.159783092,0.03143964,0.782106381,-24.7364,10.98674041,-24.7364014,34.15055772,0.326007678,-0.012325246,0.014122232,0.256965002,-0.174132128,-0.043321595,3.70150174,-0.199208913,0.190952711,-0.401677607,0.027604212,0.103438673,26.68654858,0.131042885
